Pieza;Cantidad;Largo (mm);Ancho (mm);Espesor (mm);Material;Tapacanto;Notas
Lateral izquierdo;1;2300;580;18;Melamina 18mm Blanco;canto frontal visible;
Lateral derecho;1;2300;580;18;Melamina 18mm Blanco;canto frontal visible;
Piso;1;864;580;18;Melamina 18mm Blanco;;
Techo (estante superior);1;864;580;18;Melamina 18mm Blanco;;"Apoyado sobre rinconeras (H-16); actúa como estante superior (R-20)"
Fondo;1;2296;896;3;Fibrofácil 3mm;;Clavado sin sellar herméticamente, para ventilar (R-25)
Zócalo frontal;1;864;100;18;Melamina 18mm Blanco;;Retranqueado 30 mm del frente (R-18)
Divisor cajones;1;2264;580;18;Melamina 18mm Blanco;canto frontal visible;
Tapa de cajonera;1;580;364;18;Melamina 18mm Blanco;;"Cierra el bloque de cajones; arriba queda espacio libre"
Frente (×3);3;396;250;18;Melamina 18mm Blanco;4 cantos visibles;Fijado desde adentro con 4 tornillos 4×30
Lateral caja (×6);6;500;220;18;Melamina 18mm Blanco;;
Frente interno (×3);3;302;220;18;Melamina 18mm Blanco;;
Contrafrente (×3);3;302;220;18;Melamina 18mm Blanco;;
Fondo (×3);3;498;336;3;Fibrofácil 3mm;;
Barral colgador;1;364;25;25;Tubo cromado;;Tubo, no es corte de placa: comprar por metros (H-12)
Puerta batiente 1 (×2);2;2294;427;18;Melamina 18mm Blanco;4 cantos visibles;
